,|Q|[Ah](charge),Voltage[V](charge),Capacity[mAh/g](charge),|Q|[Ah](discharge),Voltage[V](discharge),Capacity[mAh/g](discharge)
168,9.537655e-05,3.61424,27.741870273414772,9.684804e-05,4.18117,28.169877835951134
169,9.594953e-05,3.6147,27.90853112274578,9.742111e-05,4.18101,28.33656486329261
170,9.652251e-05,3.61516,28.075191972076787,9.799417e-05,4.18056,28.50324898196626
171,9.709548e-05,3.61562,28.241849912739962,9.856724e-05,4.1801,28.669936009307737
172,9.766846e-05,3.61607,28.40851076207097,9.91403e-05,4.17964,28.836620127981384
173,9.824144e-05,3.61638,28.575171611401977,9.971337e-05,4.17979,29.00330715532286
174,9.881442e-05,3.61684,28.741832460732983,0.00010028643,4.17918,29.16999127399651
175,9.93874e-05,3.61684,28.90849331006399,0.0001008595,4.17887,29.336678301337987
176,9.996038e-05,3.61745,29.075154159394994,0.00010143256,4.17841,29.503362420011634
177,0.00010053336,3.61776,29.241815008726004,0.00010200563,4.17796,29.67004944735311
178,0.00010110634,3.61837,29.40847585805701,0.00010257869,4.17765,29.836733566026755
179,0.00010167932,3.61852,29.575136707388012,0.00010315176,4.1775,30.003420593368233
180,0.0001022523,3.61883,29.74179755671902,0.00010372483,4.17673,30.17010762070971
181,0.00010282527,3.61944,29.9084554973822,0.00010429789,4.17627,30.336791739383358
182,0.00010339826,3.61974,30.075119255381036,0.00010487096,4.17612,30.503478766724836
183,0.00010397123,3.62005,30.24177719604421,0.00010544403,4.17582,30.670165794066314
184,0.00010454421,3.62081,30.408438045375213,0.00010601709,4.17536,30.836849912739968
185,0.00010511719,3.62112,30.575098894706226,0.00010659016,4.17505,31.003536940081446
186,0.00010569017,3.62143,30.74175974403723,0.00010716322,4.17444,31.170221058755093
187,0.00010626315,3.62188,30.908420593368238,0.00010773629,4.17413,31.33690808609657
188,0.00010683613,3.62234,31.07508144269924,0.00010830936,4.17367,31.503595113438042
189,0.00010740911,3.62295,31.24174229203025,0.00010888242,4.17337,31.67027923211169
190,0.00010798209,3.62311,31.408403141361255,0.00010945549,4.17291,31.836966259453167
191,0.00010855507,3.62357,31.57506399069226,0.00011002855,4.1723,32.003650378126814
192,0.00010912805,3.62387,31.741724840023267,0.00011060162,4.17184,32.170337405468295
193,0.00010970102,3.62433,31.908382780686445,0.00011117469,4.17153,32.33702443280977
194,0.000110274,3.62479,32.075043630017454,0.00011174775,4.17092,32.50370855148342
195,0.00011084698,3.62525,32.241704479348456,0.00011232082,4.17031,32.670395578824895
196,0.00011141996,3.62571,32.408365328679466,0.00011289388,4.17016,32.837079697498545
197,0.00011199294,3.62616,32.57502617801047,0.00011346694,4.1697,33.00376381617219
198,0.00011256592,3.62632,32.74168702734148,0.00011404001,4.16924,33.17045084351367
199,0.0001131389,3.62693,32.90834787667248,0.00011461307,4.16878,33.337134962187314
200,0.00011371188,3.62754,33.07500872600349,0.00011518614,4.16832,33.503821989528795
201,0.00011428486,3.62785,33.24166957533449,0.0001157592,4.16756,33.670506108202446
202,0.00011485784,3.62831,33.40833042466551,0.00011633227,4.16725,33.83719313554392
203,0.00011543081,3.62892,33.57498836532868,0.00011690533,4.16649,34.00387725421757
204,0.00011600379,3.62922,33.74164921465968,0.0001174784,4.16603,34.170564281559045
205,0.00011657677,3.62983,33.90831006399069,0.00011805146,4.16527,34.337248400232696
206,0.00011714975,3.63014,34.0749709133217,0.00011862453,4.16496,34.50393542757417
207,0.00011772273,3.63045,34.24163176265271,0.00011919759,4.16435,34.67061954624782
208,0.00011829571,3.63106,34.40829261198371,0.00011977066,4.16343,34.837306573589295
209,0.00011886868,3.63121,34.57495055264688,0.00012034372,4.16297,35.003990692262946
210,0.00011944167,3.63197,34.74161431064572,0.00012091679,4.16251,35.17067771960442
211,0.00012001465,3.63228,34.90827515997673,0.00012148986,4.1619,35.337364746945894
212,0.00012058762,3.63274,35.0749331006399,0.00012206292,4.16129,35.504048865619545
213,0.00012116061,3.6332,35.241596858638744,0.00012263599,4.16053,35.67073589296103
214,0.00012173359,3.63366,35.408257707969746,0.00012320905,4.16007,35.83742001163467
215,0.00012230657,3.63412,35.574918557300755,0.00012378212,4.1593,36.004107038976144
216,0.00012287954,3.63473,35.74157649796393,0.00012435519,4.15884,36.170794066317626
217,0.00012345252,3.63503,35.908237347294936,0.00012492825,4.15823,36.33747818499128
218,0.0001240255,3.63564,36.074898196625945,0.00012550132,4.15762,36.50416521233275
219,0.00012459849,3.63595,36.241561954624785,0.00012607438,4.15686,36.6708493310064
220,0.00012517147,3.63656,36.40822280395579,0.00012664745,4.15609,36.837536358347876
221,0.00012574445,3.63687,36.57488365328679,0.00012722052,4.15548,37.00422338568936
222,0.00012631743,3.63748,36.7415445026178,0.00012779358,4.15456,37.170907504363
223,0.00012689041,3.63778,36.9082053519488,0.00012836665,4.15395,37.337594531704475
224,0.00012746339,3.6384,37.07486620127981,0.00012893971,4.15334,37.504278650378126
225,0.00012803637,3.63885,37.24152705061082,0.00012951277,4.15273,37.67096276905177
226,0.00012860934,3.63931,37.408184991274,0.00013008584,4.15181,37.83764979639325
227,0.00012918232,3.63993,37.574845840605,0.00013065891,4.1512,38.004336823734725
228,0.0001297553,3.64038,37.74150668993601,0.00013123197,4.15028,38.17102094240837
229,0.00013032828,3.64084,37.90816753926702,0.00013180504,4.14982,38.33770796974986
230,0.00013090126,3.641,38.074828388598014,0.0001323781,4.14891,38.50439208842351
231,0.00013147424,3.64161,38.24148923792903,0.00013295116,4.14829,38.67107620709715
232,0.00013204722,3.64207,38.40815008726003,0.00013352423,4.14738,38.83776323443862
233,0.0001326202,3.64268,38.57481093659104,0.00013409729,4.14661,39.00444735311227
234,0.00013319318,3.64298,38.741471785922045,0.00013467036,4.1457,39.17113438045376
235,0.00013376616,3.64359,38.90813263525305,0.00013524342,4.14493,39.3378184991274
236,0.00013433914,3.6439,39.07479348458406,0.00013581649,4.14401,39.50450552646887
237,0.00013491212,3.64482,39.24145433391507,0.00013638955,4.1434,39.67118964514252
238,0.00013548509,3.64497,39.40811227457824,0.00013696262,4.14264,39.83787667248401
239,0.00013605807,3.64543,39.57477312390925,0.00013753568,4.14172,40.00456079115765
240,0.00013663105,3.64589,39.741433973240255,0.00013810875,4.14096,40.17124781849912
241,0.00013720403,3.64681,39.90809482257126,0.00013868181,4.13989,40.33793193717277
242,0.00013777701,3.64696,40.07475567190227,0.00013925488,4.13927,40.50461896451426
243,0.00013834998,3.64742,40.24141361256544,0.00013982794,4.13836,40.6713030831879
244,0.00013892296,3.64803,40.40807446189645,0.000140401,4.13775,40.83798720186155
245,0.00013949594,3.64849,40.57473531122745,0.00014097407,4.13683,41.004674229203026
246,0.00014006892,3.6491,40.741396160558466,0.00014154713,4.13576,41.17135834787668
247,0.0001406419,3.6494,40.90805700988947,0.0001421202,4.13515,41.338045375218144
248,0.00014121488,3.64956,41.07471785922047,0.00014269326,4.13408,41.50472949389179
249,0.00014178786,3.65047,41.24137870855148,0.00014326633,4.13331,41.671416521233276
250,0.00014236084,3.65093,41.40803955788249,0.00014383939,4.13239,41.838100639906926
251,0.00014293382,3.65124,41.5747004072135,0.00014441245,4.13132,42.00478475858057
252,0.0001435068,3.652,41.7413612565445,0.00014498552,4.13041,42.17147178592204
253,0.00014407978,3.65231,41.90802210587551,0.00014555858,4.12964,42.33815590459569
254,0.00014465276,3.65292,42.07468295520651,0.00014613164,4.12903,42.504840023269345
255,0.00014522574,3.65338,42.24134380453752,0.0001467047,4.12781,42.67152414194299
256,0.00014579872,3.65384,42.408004653868524,0.00014727777,4.12689,42.83821116928447
257,0.00014637169,3.65414,42.5746625945317,0.00014785083,4.12582,43.004895287958114
258,0.00014694467,3.65476,42.741323443862704,0.00014842389,4.12505,43.17157940663176
259,0.00014751765,3.65506,42.907984293193714,0.00014899696,4.12414,43.33826643397324
260,0.00014809063,3.65583,43.07464514252472,0.00014957002,4.12337,43.50495055264688
261,0.00014866362,3.65628,43.24130890052356,0.00015014309,4.1223,43.671637579988364
262,0.0001492366,3.65674,43.407969749854566,0.00015071615,4.12154,43.83832169866201
263,0.00014980958,3.6572,43.574630599185575,0.00015128922,4.12032,44.00500872600349
264,0.00015038256,3.65766,43.74129144851657,0.00015186228,4.1197,44.17169284467713
265,0.00015095554,3.65827,43.90795229784758,0.00015243535,4.11848,44.33837987201861
266,0.00015152853,3.65873,44.07461605584642,0.00015300841,4.11756,44.50506399069226
267,0.00015210151,3.65904,44.24127690517742,0.00015358147,4.11665,44.671748109365915
268,0.00015267449,3.65965,44.40793775450843,0.00015415453,4.11542,44.838432228039565
269,0.00015324748,3.66011,44.57460151250727,0.0001547276,4.11481,45.00511925538103
270,0.00015382046,3.66041,44.741262361838274,0.00015530066,4.11374,45.171803374054676
271,0.00015439344,3.66087,44.90792321116928,0.00015587373,4.11282,45.33849040139616
272,0.00015496643,3.66164,45.07458696916812,0.00015644679,4.11206,45.5051745200698
273,0.00015553941,3.66209,45.241247818499126,0.00015701985,4.11114,45.67185863874345
274,0.00015611239,3.6624,45.407908667830135,0.00015759291,4.10992,45.838542757417095
275,0.00015668537,3.66271,45.57456951716114,0.00015816598,4.1087,46.005229784758576
276,0.00015725835,3.66362,45.74123036649215,0.00015873904,4.10793,46.17191390343222
277,0.00015783134,3.66378,45.90789412449099,0.00015931211,4.10686,46.3386009307737
278,0.00015840432,3.66424,46.07455497382199,0.00015988517,4.10625,46.505285049447345
279,0.0001589773,3.66531,46.241215823153,0.00016045823,4.10503,46.671969168120995
280,0.00015955029,3.66546,46.40787958115184,0.00016103129,4.10411,46.83865328679464
281,0.00016012327,3.66592,46.574540430482834,0.00016160436,4.10304,47.00534031413613
282,0.00016069625,3.66653,46.74120127981384,0.00016217742,4.10212,47.17202443280978
283,0.00016126924,3.66683,46.90786503781268,0.00016275048,4.10105,47.33870855148342
284,0.00016184222,3.66745,47.074525887143686,0.00016332354,4.09998,47.50539267015707
285,0.00016241521,3.6679,47.241189645142526,0.00016389661,4.09906,47.67207969749854
286,0.00016298819,3.66806,47.40785049447353,0.00016446967,4.0983,47.83876381617218
287,0.00016356118,3.66882,47.57451425247236,0.00016504273,4.09708,48.00544793484584
288,0.00016413416,3.66928,47.74117510180337,0.0001656158,4.09616,48.172134962187314
289,0.00016470715,3.66959,47.907838859802204,0.00016618886,4.09524,48.338819080860965
290,0.00016528013,3.67035,48.07449970913322,0.00016676192,4.09432,48.50550319953461
291,0.00016585311,3.67081,48.24116055846422,0.00016733499,4.09325,48.67219022687609
